"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "SCSS", "XML", "TypeScript JSX", "comment", "blank", "total"
"/home/jkyber/Documents/websites/recipe-app/src/styles/auth/login.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 2, 15, 92
"/home/jkyber/Documents/websites/recipe-app/src/styles/auth/login_form.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"/home/jkyber/Documents/websites/recipe-app/src/styles/auth/login_input.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 7, 67
"/home/jkyber/Documents/websites/recipe-app/src/styles/auth/signup_form.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 11, 55
"/home/jkyber/Documents/websites/recipe-app/src/styles/index.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/jkyber/Documents/websites/recipe-app/src/styles/layout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/jkyber/Documents/websites/recipe-app/src/styles/mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 7, 42
"/home/jkyber/Documents/websites/recipe-app/src/styles/navigation.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"/home/jkyber/Documents/websites/recipe-app/src/styles/recipe.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 177, 0, 0, 2, 37, 216
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_filter/autocompleteDropdown.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_filter/dropdown.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 13, 83
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_filter/filter_option.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 19, 127
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_filter/recipe_searchbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 5, 45
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_filter/search_filters.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_page.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_results/recipe_result_skeleton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_results/search_result.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 12, 80
"/home/jkyber/Documents/websites/recipe-app/src/styles/search_results/search_result_container.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"/home/jkyber/Documents/websites/recipe-app/src/styles/stars.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"/home/jkyber/Documents/websites/recipe-app/src/types/dropdown.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/jkyber/Documents/websites/recipe-app/src/types/errors.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/home/jkyber/Documents/websites/recipe-app/src/types/recipe.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"/home/jkyber/Documents/websites/recipe-app/src/types/sign_up.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/jkyber/Documents/websites/recipe-app/src/types/user.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/jkyber/Documents/websites/recipe-app/src/utils/cookies.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"/home/jkyber/Documents/websites/recipe-app/src/utils/dom_tools.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"/home/jkyber/Documents/websites/recipe-app/src/utils/filter_values.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 4, 76
"/home/jkyber/Documents/websites/recipe-app/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jkyber/Documents/websites/recipe-app/test_recipe.json", "JSON", 0, 0, 0, 1097, 0, 0, 0, 0, 0, 0, 1, 1098
"/home/jkyber/Documents/websites/recipe-app/tsconfig.app.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"/home/jkyber/Documents/websites/recipe-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/home/jkyber/Documents/websites/recipe-app/tsconfig.node.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"/home/jkyber/Documents/websites/recipe-app/vite.config.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 1, 8
"Total", "-", 13, 25, 45, 44231, 486, 7, 963, 2, 1331, 87, 447, 47637
